Row Index,Average
1,0.0002984868443005428
2,0.0002984868443005428
3,0.0002984868443005428
4,0.0002984868443005428
5,0.0002984868443005428
6,0.0002984868443005428
7,0.0002984868443005428
8,0.0002984868443005428
9,0.0002984868443005428
10,0.3032028641500328
11,0.3032028641500328
12,0.45566293785800827
13,0.6055617976220973
14,0.7555386158039156
15,0.7555386158039156
16,0.7555386158039156
17,0.7555386158039156
18,0.7555386158039156
19,0.7555386158039156
20,0.7555386158039156
21,0.7555386158039156
22,0.7555386158039156
23,0.7555386158039156
24,0.7555386158039156
25,0.9025142276422764
26,0.9025142276422764
27,1.05
28,1.05
29,1.0499999999999998
30,1.0499999999999998
31,1.0499999999999998
32,1.0499999999999998
33,1.0499999999999998
34,1.0499999999999998
35,1.0499999999999998
36,1.0499999999999998
37,1.0499999999999998
38,1.0499999999999998
39,1.0499999999999998
40,1.3280612244897958
41,1.3280612244897958
42,1.470918367346939
43,1.6075643300798583
44,1.6789929015084297
45,1.6789929015084297
46,1.6789929015084297
47,1.6789929015084297
48,1.6789929015084297
49,1.6789929015084297
50,1.6789929015084297
51,1.6789929015084297
52,1.6789929015084297
53,1.6789929015084297
54,1.6789929015084297
55,1.8295031055900621
56,1.8295031055900621
57,1.972360248447205
58,1.9785714285714289
59,2.0500000000000003
60,2.0500000000000003
61,2.0500000000000003
62,2.0500000000000003
63,2.0500000000000003
64,2.0500000000000003
65,2.0500000000000003
66,2.0500000000000003
67,2.0500000000000003
68,2.0500000000000003
69,2.0500000000000003
70,2.3275510204081633
71,2.3275510204081633
72,2.4704081632653065
73,2.572448979591837
74,2.71530612244898
75,2.71530612244898
76,2.71530612244898
77,2.71530612244898
78,2.71530612244898
79,2.71530612244898
80,2.71530612244898
81,2.71530612244898
82,2.71530612244898
83,2.71530612244898
84,2.71530612244898
85,2.866326530612245
86,2.866326530612245
87,3.0091836734693875
88,3.0500000000000003
89,3.0500000000000003
90,3.0500000000000003
91,3.0500000000000003
92,3.0500000000000003
93,3.0500000000000003
94,3.0500000000000003
95,3.0500000000000003
96,3.0500000000000003
97,3.0500000000000003
98,3.0500000000000003
99,3.0500000000000003
100,3.05
101,3.05
102,3.05
103,3.05
104,3.05
105,3.05
106,3.05
107,3.05
108,3.05
109,3.05
110,3.05
111,3.05
112,3.05
113,3.05
114,3.05
115,3.05
116,3.05
117,3.05
118,3.05
119,3.05
120,3.05
121,3.05
122,3.05
123,3.05
124,3.05
125,3.05
126,3.05
127,3.05
128,3.05
129,3.05
130,3.05
131,3.05
132,3.05
133,3.05
134,3.05
135,3.05
136,3.05
137,3.05
138,3.05
139,3.05
140,3.05
141,3.05
142,3.05
143,3.05
144,3.05
145,3.05
