Row Index,Average
1,0.00046083467912457144
2,0.00046083467912457144
3,0.00046083467912457144
4,0.00046083467912457144
5,0.00046083467912457144
6,0.00046083467912457144
7,0.00046083467912457144
8,0.00046083467912457144
9,0.00046083467912457144
10,0.00046083467912457144
11,0.00046083467912457144
12,0.00046083467912457144
13,0.00046083467912457144
14,0.30397003381332377
15,0.3039757525352228
16,1.2144823701836447
17,1.2144823701836447
18,1.2144823701836447
19,1.2144823701836447
20,1.2144823701836447
21,1.2144823701836447
22,1.2144823701836447
23,1.2144823701836447
24,1.2144823701836447
25,1.2144823701836447
26,1.2144823701836447
27,1.2144823701836447
28,1.2144823701836447
29,1.2144823701836447
30,1.8214925
31,2.125
32,2.125
33,2.125
34,2.125
35,2.125
36,2.125
37,2.125
38,2.125
39,2.125
40,2.125
41,2.125
42,2.125
43,2.125
44,2.125
45,2.125
46,2.125
47,2.125
48,2.125
49,2.125
50,2.125
51,2.125
52,2.125
53,2.125
54,2.125
55,2.125
56,2.125
57,2.125
58,2.125
59,2.2232142857142856
60,2.2232142857142856
61,2.2232142857142856
62,2.2232142857142856
63,2.2232142857142856
64,2.2232142857142856
65,2.2232142857142856
66,2.2232142857142856
67,2.2232142857142856
68,2.2232142857142856
69,2.2232142857142856
70,2.2232142857142856
71,2.2232142857142856
72,2.2232142857142856
73,2.2232142857142856
74,2.4464285714285716
75,2.677170868347339
76,3.611322654061625
77,3.611322654061625
78,3.611322654061625
79,3.611322654061625
80,3.611322654061625
81,3.611322654061625
82,3.611322654061625
83,3.611322654061625
84,3.611322654061625
85,3.611322654061625
86,3.611322654061625
87,3.611322654061625
88,3.611322654061625
89,3.611322654061625
90,4.0234375
91,4.327008928571429
92,4.327008928571429
93,4.327008928571429
94,4.327008928571429
95,4.327008928571429
96,4.327008928571429
97,4.327008928571429
98,4.327008928571429
99,4.327008928571429
100,4.327008928571429
101,4.327008928571429
102,4.327008928571429
103,4.327008928571429
104,4.327008928571429
105,4.327008928571429
106,4.327008928571429
107,4.327008928571429
108,4.327008928571429
109,4.327008928571429
110,4.327008928571429
111,4.327008928571429
112,4.327008928571429
113,4.327008928571429
114,4.327008928571429
115,4.327008928571429
116,4.327008928571429
117,4.327008928571429
118,4.345052083333333
119,4.375
120,4.375
121,4.375
122,4.375
123,4.375
124,4.375
125,4.375
126,4.375
127,4.375
128,4.375
129,4.375
130,4.375
131,4.375
132,4.375
133,4.375
134,4.375
135,4.375
136,4.375
137,4.375
138,4.375
139,4.375
140,4.375
141,4.375
142,4.375
143,4.375
144,4.375
145,4.375
146,4.375
147,4.375
148,4.375
149,4.375
150,4.375
151,4.375
152,4.375
153,4.375
154,4.375
155,4.375
156,4.375
157,4.375
158,4.375
159,4.375
160,4.375
161,4.375
162,4.375
163,4.375
